keyword,location_code,language_code,search_volume,cpc_usd,low_bid_usd,high_bid_usd,source
presse à casquette,2250,fr,140,2.98,0.71,3.64,volumes-seconde-vague-fr.json
gaufrier bubble,2250,fr,480,0.34,0.1,0.99,volumes-seconde-vague-fr.json
gaufrier professionnel,2250,fr,4400,0.72,0.27,1.1,volumes-seconde-vague-fr.json
friteuse professionnelle,2250,fr,5400,1.52,0.4,1.71,volumes-seconde-vague-fr.json
machine sous vide cloche,2250,fr,260,2.86,0.56,2.69,volumes-seconde-vague-fr.json
scelleuse sachet,2250,fr,140,1.06,0.16,1.65,volumes-seconde-vague-fr.json
soudeuse sac,2250,fr,170,0.57,0.18,1.87,volumes-seconde-vague-fr.json
pese colis,2250,fr,170,1.25,0.38,2.46,volumes-seconde-vague-fr.json
balance colis,2250,fr,320,1.46,0.27,3.01,volumes-seconde-vague-fr.json
balance vétérinaire,2250,fr,90,1.21,0.23,1.62,volumes-seconde-vague-fr.json
kit réparation pare brise,2250,fr,1000,0.38,0.16,1.24,volumes-seconde-vague-fr.json
réparation débosselage,2250,fr,,,,,volumes-seconde-vague-fr.json
kit débosselage,2250,fr,880,0.46,0.14,0.64,volumes-seconde-vague-fr.json
microbilleuse,2250,fr,320,1.15,0.55,2.14,volumes-seconde-vague-fr.json
cabine sablage,2250,fr,1300,1.46,0.7,2.85,volumes-seconde-vague-fr.json
sableuse aérogommeuse,2250,fr,2900,0.58,0.1,1.22,volumes-seconde-vague-fr.json
polisseuse bijoux,2250,fr,320,0.73,0.19,1.06,volumes-seconde-vague-fr.json
tonneau polissage,2250,fr,50,1.29,0.26,1.3,volumes-seconde-vague-fr.json
tournebroche,2250,fr,5400,0.45,0.16,0.75,volumes-seconde-vague-fr.json
rôtissoire électrique,2250,fr,1000,0.38,0.11,0.94,volumes-seconde-vague-fr.json
rotissoire barbecue,2250,fr,390,0.52,0.13,0.64,volumes-seconde-vague-fr.json
tente photographe,2250,fr,,,,,volumes-seconde-vague-fr.json
affût photo,2250,fr,170,0.19,0.08,0.33,volumes-seconde-vague-fr.json
camouflage photographe,2250,fr,10,0.13,,,volumes-seconde-vague-fr.json
Klappzahlenuhr,2276,de,480,0.19,0.03,0.22,volumes-europe-de.json
Flip Uhr,2276,de,1900,0.23,0.06,0.59,volumes-europe-de.json
Tischuhr retro,2276,de,320,0.36,0.1,0.33,volumes-europe-de.json
Trikot Rahmen,2276,de,4400,0.56,0.13,1,volumes-europe-de.json
Trikot Bilderrahmen,2276,de,2400,0.46,0.11,1.03,volumes-europe-de.json
Urne kaufen,2276,de,1900,0.88,0.29,0.91,volumes-europe-de.json
Urne,2276,de,14800,0.69,0.29,0.89,volumes-europe-de.json
Klangschale,2276,de,6600,0.82,0.23,1.27,volumes-europe-de.json
Schamanentrommel,2276,de,590,0.75,0.34,0.57,volumes-europe-de.json
Nagellampe Halbmond,2276,de,,,,,volumes-europe-de.json
Bodenstuhl,2276,de,2400,0.47,0.08,1.16,volumes-europe-de.json
Zeichentisch,2276,de,1300,0.44,0.11,1.28,volumes-europe-de.json
Waffeleisen Bubble,2276,de,170,0.37,0.07,0.68,volumes-europe-de.json
